address,reward_type,amount,reported_time
sif1xlpqp4q2s3qj0wggzjwq3kw8nzsjs24c8s76gu,vs,1.9312727273E-8,2021-09-24 03:13:38.835294+00:00
sif1d8xvp3a3uaddq7kmy8npe83kdav9u2u0xr8lhh,vs,0.000012418825124947,2021-09-24 03:13:04.175885+00:00
sif1jheaj788vufwwjyzdf8tv9ktyzzfmv7f2klu8x,lm,0.000353252970648804,2021-09-24 03:11:28.353275+00:00
sif1hwh39hr29qj889swpnspuawkmkv89u8jg7ev4h,lm,0.001625238289721108,2021-09-24 03:11:26.603314+00:00
sif1m7qv8gdswhpkq6jv57a3fdcxfv5qwk3jttv43z,vs,0.003535054395104502,2021-09-24 03:13:19.567651+00:00
sif1ly0djp2jl7z0hlwg3myenajct0dawwf3d6cxxr,lm,0.004318757739706389,2021-09-24 03:11:38.980593+00:00
sif1zve02feteu5kp8dcrxq3duhzs0vtt7884fmcl9,vs,0.005155786707179371,2021-09-24 03:13:45.218008+00:00
sif1hz9rznf0dp5j9gk449969hr2y550pxsn0zphv2,vs,0.006620407010658611,2021-09-24 03:13:12.563972+00:00
sif1gccvtx8t2vvzh62eh334tpwrggaf28585ksrlj,vs,0.014009621052271389,2021-09-24 03:13:09.310300+00:00
sif1g95j693tlnzqeftqr7nuhnmmgapaztt2k83gvh,vs,0.014682658115442635,2021-09-24 03:13:09.059947+00:00
sif1x9axc2ugw5lale39eac20rwd5h803zjcu3jwuw,vs,0.014845441726183887,2021-09-24 03:13:37.958657+00:00
sif10w8kfhtfgn54lw6ypsrkua6f6dk5y04tf2hj6p,vs,0.017009291539424652,2021-09-24 03:12:38.283225+00:00
sif15ykl3pzx45wcqrsd4n3t6pqp25wlp2ykckythe,vs,0.018506713564286098,2021-09-24 03:12:47.914435+00:00
sif18c724358ugx03zyhh3udeggpvmax88k50ymnxt,vs,0.018766838611638061,2021-09-24 03:12:53.666591+00:00
sif1qrhg5vjnr8f0ceucvxxd0x2dqkksr9c5dnxcgn,vs,0.018838835744385839,2021-09-24 03:13:25.694680+00:00
sif1240nvma7fjspn6kjjd9l4m3dk9x55vuh4tx95n,vs,0.019103290286143921,2021-09-24 03:12:38.908091+00:00
sif1atmu2t9gneyq4sjm46ve3tzqnu2usx4zuu4hqm,vs,0.019207156447620146,2021-09-24 03:13:00.547165+00:00
sif1tust5aljdf0p5gavn6qumw947ey4nj4jl7tjw0,vs,0.019359517732225573,2021-09-24 03:13:32.449074+00:00
sif1z8743pzlclp9e5c4jlq9rq72vqadrcgs74nh59,vs,0.021206527631151175,2021-09-24 03:13:43.215496+00:00
sif12fvnzrnjgemmg96knu05glelsrf58vsdehsku6,vs,0.021206527631151225,2021-09-24 03:12:39.659086+00:00
sif19xcvrt82a5t56ugsfpaz8sjtqluav5cgc44kvl,vs,0.021206527631151225,2021-09-24 03:12:57.545290+00:00
sif105a8mwmgceendm5gv4v8p2w79088jqtw4q6utn,vs,0.023417743274129682,2021-09-24 03:12:36.158800+00:00
sif1pafrvw6t4cljdmpc9lhntmnmgsvt8ycz6v4l0f,vs,0.026273574056293924,2021-09-24 03:13:22.443057+00:00
sif13spezn49xa66w68905rzu63lr2xt7chzslgrp4,vs,0.030212748229276227,2021-09-24 03:12:43.290373+00:00
sif194z5vxzm0pn5rgudtqq6phg2tcq0puvnezqtjr,vs,0.031383910501392727,2021-09-24 03:12:55.541401+00:00
sif1685xkrfu8menx99sntj6e3rgl2ytfcqandt0sf,vs,0.033576627179333452,2021-09-24 03:12:48.665073+00:00
sif1d3fz3s678jxlysf0z2mtsw5ezsfnyll68efn7l,vs,0.041287044945603936,2021-09-24 03:13:03.675118+00:00
sif1xw26l6kv3275qxu2hxp4sv5nqkhy74uu8r0u5q,vs,0.046917096529095727,2021-09-24 03:13:39.335245+00:00
sif1fl3lz3w0zs3tqgf0vuux8suuv440w5grnppzjs,vs,0.047378400487964436,2021-09-24 03:13:08.183175+00:00
sif1we4l8ljg70kw3rr25merfts0q3q9rnf00dj2sk,vs,0.060324502416639443,2021-09-24 03:13:36.830192+00:00
sif1sz6metysc5x068745l8q6ftvl2e74zhyzk3chx,vs,0.065683935140733291,2021-09-24 03:13:30.949514+00:00
sif1l89e34q78wrs6altkpycw6lp9gfv0734epcggy,vs,0.066081815643909091,2021-09-24 03:13:17.315558+00:00
sif14adrw9pugg37e0zaz7ft7fjjfaj6ehspata4kl,vs,0.086850035770466936,2021-09-24 03:12:44.666991+00:00
sif1s0d9jvugwshucezw5r7uutw62dvj654yjl5awz,lm,0.089343278623273818,2021-09-24 03:12:01.501315+00:00
sif1czw673sszmwlgjy0fgqza8k0h7pmwyl4a8sarw,vs,0.090926869070540591,2021-09-24 03:13:03.425265+00:00
sif1m0ggetzvcqueeahh2gr2vukqujkqea6clukv52,vs,0.092510561301123982,2021-09-24 03:13:18.942524+00:00
sif1l6gaa65e4dj273hfphdv6qme9zwkvvrv70eum6,vs,0.095386233763228273,2021-09-24 03:13:17.065800+00:00
